>gb:KU289739|Organism:Influenza A virus (A/American black duck/Delaware/A00870108/2010(H7N3))|Strain Name:A/American black duck/Delaware/A00870108/2010|Segment:7|Subtype:H7N3|Host:American Black Duck
>gb:CY167193|Organism:Influenza A virus (A/American green-winged teal/Mississippi/12OS311/2012(H5N3))|Strain Name:A/American green-winged teal/Mississippi/12OS311/2012|Segment:7|Subtype:H5N3|Host:Green-Winged Teal
>gb:KC162239|Organism:Influenza A virus (A/baikal teal/Xianghai/421/2011(H9N2))|Strain Name:A/baikal teal/Xianghai/421/2011|Segment:7|Subtype:H9N2|Host:Baikal Teal
>gb:MF148062|Organism:Influenza A virus (A/barnacle goose/Netherlands/2/2014(H3N6))|Strain Name:A/barnacle goose/Netherlands/2/2014|Segment:8|Subtype:H3N6|Host:Goose
>gb:KX977838|Organism:Influenza A virus (A/black-headed gull/Netherlands/5/2013(H16N3))|Strain Name:A/black-headed gull/Netherlands/5/2013|Segment:7|Subtype:H16N3|Host:Gull
>gb:MF146010|Organism:Influenza A virus (A/black-headed gull/Netherlands/56/2008(H16N3))|Strain Name:A/black-headed gull/Netherlands/56/2008|Segment:7|Subtype:H16N3|Host:Gull
>gb:KF424183|Organism:Influenza A virus (A/blue winged teal/Louisiana/B228/1986(H1N1))|Strain Name:A/blue winged teal/Louisiana/B228/1986|Segment:1|Subtype:H1N1|Host:Blue-Winged Teal
>gb:CY140145|Organism:Influenza A virus (A/blue-winged teal/North Dakota/Sg-00740/2008(H3N8))|Strain Name:A/blue-winged teal/North Dakota/Sg-00740/2008|Segment:7|Subtype:H3N8|Host:Blue-Winged Teal
>gb:MH546326|Organism:Influenza A virus|Strain Name:A/blue-winged teal/South Carolina/16-042570-1/2016|Segment:7|Subtype:H7N1|Host:Blue-Winged Teal
>gb:GU186778|Organism:Influenza A virus (A/chicken/Brescia/1902(H7N7))|Strain Name:A/chicken/Brescia/1902|Segment:7|Subtype:H7N7|Host:Chicken
>gb:KR732480|Organism:Influenza A virus (A/chicken/Egypt/07118-NLQP/2007(H5N1))|Strain Name:A/chicken/Egypt/07118-NLQP/2007|Segment:7|Subtype:H5N1|Host:Chicken
>gb:GU052191|Organism:Influenza A virus (A/chicken/Germany/N/1949(H10N7))|Strain Name:A/chicken/Germany/n/1949|Segment:7|Subtype:H10N7|Host:Bird
>gb:CY126177|Organism:Influenza A virus (A/chicken/Giza/CAI17/2009(H5N1))|Strain Name:A/chicken/Giza/CAI17/2009|Segment:7|Subtype:H5N1|Host:Chicken
